"608";"honeyOnDmFrame";"Gewicht des Honigs auf 1 dm² Rahmen (von beiden Seiten). Dies sollte ein Durchschnittswert aus vielen Rahmen sein. Dieser Wert dient zur Berechnung der ungefähren Honigmenge pro Beute.";"El peso de la miel que se encuentra en 1 dm2 de cuadro (de ambos lados). Debe ser el valor promedio de varios cuadros. Este valor se utiliza para calcular la cantidad aproximada de miel cosechada por cada colmena.";"Le poids du miel contenu dans 1 dm² de cadre (des deux côtés). Ce devrait être la valeur moyenne de plusieurs cadres. Cette valeur sert à calculer la quantité approximative de miel récolté pour chaque ruche.";"Il peso del miele contenuto in 1 dm² di telaino (entrambi i lati). Dovrebbe essere il valore medio di più telai. Questo valore viene utilizzato per calcolare la quantità approssimativa di miele raccolto per ogni arnia.";"Peso do mel contido em 1 dm² de quadro (de ambos os lados). Deve ser o valor médio de vários quadros. Este valor é utilizado para calcular a quantidade aproximada de mel colhido em cada colmeia.";"Waga miodu, który znajduje się na 1 dm² ramki (z obu stron). Powinna to być wartość średnia z wielu ramek. Wartość ta służy do obliczenia przybliżonej ilości pozyskanego miodu dla każdego ula.";"The weight of honey contained in 1 dm² of frame (both sides). This should be the average value across multiple frames. This value is used to calculate the approximate amount of honey harvested for each hive."
"609";"frameDimensions";"Innenmaße des Rahmens";"dimensiones internas del cuadro";"dimensions intérieures du cadre";"dimensioni interne del telaino";"dimensões internas do quadro";"wewnętrzne wymiary ramki";"wewnętrzne wymiary ramki"
"610";"hiveTypeEdit";"Beutentyp bearbeiten";"Edicion del tipo de colmena";"Édition du type de ruche";"Modifica tipo arnia";"Edição do tipo de colmeia";"Edycja typu ula";"Edit hive type"
"611";"oWnTypeName";"Eigener Typname";"Nombre propio del tipo";"Nom de type personnalisé";"Nome tipo personalizzato";"Nome do tipo próprio";"Własna nazwa typu";"Own type name"
"612";"wIdth";"Breite";"Anchura";"Largeur";"Larghezza";"Largura";"Szerokość";"Width"
"613";"hEight";"Höhe";"Altura";"Hauteur";"Altezza";"Altura";"Wysokość";"Height"
"614";"dImensionsSmallFrame";"Innenmaße des kleinen Rahmens";"Dimensiones internas del cuadro pequeno";"Dimensions intérieures du petit cadre";"Dimensioni interne del telaino piccolo";"Dimensões internas do quadro pequeno";"Wymiary wewnętrzne małej ramki";"Internal dimensions of the small frame"
"615";"dImensionsBigFrame";"Innenmaße des großen Rahmens";"Dimensiones internas del cuadro grande";"Dimensions intérieures du grand cadre";"Dimensioni interne del telaino grande";"Dimensões internas do quadro grande";"Wymiary wewnętrzne dużej ramki";"Internal dimensions of the big frame"
"616";"pArametersDetermine";"Die Parameter bestimmen die Innenmaße der Rahmen in der Beute TYP A, die zur Berechnung der Honigernte anhand der Anzahl der entnommenen Rahmen verwendet werden.";"Los parametros determinan el tamano interno de los cuadros utilizados en la colmena TIPO A, que se utilizara para calcular la cosecha de miel basandose en el numero de cuadros retirados de esta colmena.";"Les paramètres déterminent les dimensions intérieures des cadres utilisés dans la ruche TYPE A, qui seront utilisées pour calculer la récolte de miel en fonction du nombre de cadres récupérés de cette ruche.";"I parametri determinano le dimensioni interne dei telai utilizzati nell'arnia TIPO A, che verranno utilizzate per calcolare la raccolta del miele in base al numero di telai prelevati da questa arnia.";"Os parâmetros determinam o tamanho interno dos quadros utilizados na colmeia TIPO A, que será utilizado para calcular a colheita de mel com base no número de quadros retirados desta colmeia.";"Parametry określają rozmiar wewnętrzny ramek używanych w ulu TYP A, który wykorzystany zostanie do obliczania zbiorów miodu na podstawie ilości odebranych ramek z tego ula.";"The parameters determine the internal size of the frames used in the TYPE A hive, which will be used to calculate the honey harvest based on the number of frames received from this hive."
"617";"nfcScanning";"NFC-Scan";"Escaneo NFC";"Scan NFC";"Scansione NFC";"Leitura NFC";"Skanowanie NFC";"NFC Scanning"
"618";"nfcHoldNearTag";"Halten Sie das Telefon an den NFC-Tag";"Acerca el telefono a la etiqueta NFC";"Approchez le téléphone du tag NFC";"Avvicina il telefono al tag NFC";"Aproxime o telemóvel da etiqueta NFC";"Przyłóż telefon do tagu NFC";"Hold your phone near the NFC tag"
"619";"nfcNotAvailable";"NFC ist auf diesem Gerät nicht verfügbar";"NFC no esta disponible en este dispositivo";"Le NFC n'est pas disponible sur cet appareil";"NFC non è disponibile su questo dispositivo";"NFC não está disponível neste dispositivo";"NFC nie jest dostępne na tym urządzeniu";"NFC is not available on this device"
"620";"nfcTagReadError";"Fehler beim Lesen des NFC-Tags";"Error al leer la etiqueta NFC";"Erreur de lecture du tag NFC";"Errore di lettura del tag NFC";"Erro na leitura da etiqueta NFC";"Błąd odczytu tagu NFC";"Error reading NFC tag"
"621";"nfcAssignTag";"Tag der Beute zuweisen";"Asignar etiqueta a la colmena";"Assigner le tag à la ruche";"Assegna tag all'arnia";"Atribuir etiqueta à colmeia";"Przypisz tag do ula";"Assign tag to hive"
"622";"nfcSelectApiary";"Bienenstand wählen";"Seleccionar colmenar";"Sélectionnez le rucher";"Seleziona apiario";"Selecione o apiário";"Wybierz pasiekę";"Select apiary"
"623";"nfcSelectHive";"Beute wählen";"Seleccionar colmena";"Sélectionnez la ruche";"Seleziona arnia";"Selecione a colmeia";"Wybierz ul";"Select hive"
"624";"nfcAssign";"Zuweisen";"Asignar";"Assigner";"Assegna";"Atribuir";"Przypisz";"Assign"
"625";"nfcTagAssigned";"NFC-Tag wurde der Beute zugewiesen";"La etiqueta NFC ha sido asignada a la colmena";"Le tag NFC a été assigné à la ruche";"Il tag NFC è stato assegnato all'arnia";"Etiqueta NFC atribuída à colmeia";"Tag NFC został przypisany do ula";"NFC tag has been assigned to the hive"
"626";"nfcNoHivesWithoutTag";"Keine Beuten ohne zugewiesenen NFC-Tag";"No hay colmenas sin etiqueta NFC asignada";"Aucune ruche sans tag NFC assigné";"Nessuna arnia senza tag NFC assegnato";"Sem colmeias sem etiqueta NFC atribuída";"Brak uli bez przypisanego tagu NFC";"No hives without NFC tag assigned"
"627";"nfcButton";"NFC";"NFC";"NFC";"NFC";"NFC";"NFC";"NFC"
"628";"nfcTagReadError1";"NFC-Tag Lesefehler 1";"Error al leer etiqueta NFC 1";"Erreur de lecture du tag NFC 1";"Errore di lettura del tag NFC 1";"Erro na leitura da etiqueta NFC 1";"Błąd odczytu tagu NFC 1";"Błąd odczytu tagu NFC 1"
"629";"nfcTagReadError2";"NFC-Tag Lesefehler 2";"Error al leer etiqueta NFC 2";"Erreur de lecture du tag NFC 2";"Errore di lettura del tag NFC 2";"Erro na leitura da etiqueta NFC 2";"Błąd odczytu tagu NFC 2";"Błąd odczytu tagu NFC 2"
"630";"nfcTagReadError3";"NFC-Tag Lesefehler 3";"Error al leer etiqueta NFC 3";"Erreur de lecture du tag NFC 3";"Errore di lettura del tag NFC 3";"Erro na leitura da etiqueta NFC 3";"Błąd odczytu tagu NFC 3";"Błąd odczytu tagu NFC 3"
"631";"nfcTagReadError4";"NFC-Tag Lesefehler 4";"Error al leer etiqueta NFC 4";"Erreur de lecture du tag NFC 4";"Errore di lettura del tag NFC 4";"Erro na leitura da etiqueta NFC 4";"Błąd odczytu tagu NFC 4";"Błąd odczytu tagu NFC 4"
"632";"calculator";"Rechner";"Calculadora";"Calculateur";"Calcolatrice";"Calculadora";"Kalkulator";"Calculator"
"633";"sugarSyrup32";"Zuckersirup 3:2";"Jarabe de azucar 3:2";"Sirop de sucre 3:2";"Sciroppo di zucchero 3:2";"Xarope de açúcar 3:2";"Syrop cukrowy 3:2";"Sugar syrup 3:2"
"634";"sugar";"Zucker";"Azucar";"Sucre";"Zucchero";"Açúcar";"Cukier";"Sugar"
"635";"water";"Wasser";"Agua";"Eau";"Acqua";"Água";"Woda";"Water"
"636";"result";"Ergebnis";"Resultado";"Résultat";"Risultato";"Resultado";"Wynik";"Result"
"637";"resultLiters";"Ergebnis in Litern";"Resultado en litros";"Résultat en litres";"Risultato in litri";"Resultado em litros";"Wynik w litrach";"Result in liters"
"638";"resultKilograms";"Ergebnis in Kilogramm";"Resultado en kilogramos";"Résultat en kilogrammes";"Risultato in chilogrammi";"Resultado em quilogramas";"Wynik w kilogramach";"Result in kilograms"
"639";"syrupLiters";"Sirup in Litern";"Jarabe en litros";"Sirop en litres";"Sciroppo in litri";"Xarope em litros";"Syrop w litrach";"Syrup in liters"
"640";"syrupKilograms";"Sirup in Kilogramm";"Jarabe en kilogramos";"Sirop en kilogrammes";"Sciroppo in chilogrammi";"Xarope em quilogramas";"Syrop w kilogramach";"Syrup in kilograms"
"641";"cakeKilograms";"Teig in Kilogramm";"Pasta en kilogramos";"Candi en kilogrammes";"Candito in chilogrammi";"Pasta em quilogramas";"Ciasto w kilogramach";"Cake in kilograms"
"642";"syrupCalculator";"Siruprechner";"Calculadora de jarabe";"Calculateur de sirop";"Calcolatrice sciroppo";"Calculadora de xarope";"Kalkulator syropu";"Syrup calculator"
"643";"sugarSyrup21";"Zuckersirup 2:1";"Jarabe de azucar 2:1";"Sirop de sucre 2:1";"Sciroppo di zucchero 2:1";"Xarope de açúcar 2:1";"Syrop cukrowy 2:1";"Sugar syrup 2:1"
"644";"sugarSyrup11";"Zuckersirup 1:1";"Jarabe de azucar 1:1";"Sirop de sucre 1:1";"Sciroppo di zucchero 1:1";"Xarope de açúcar 1:1";"Syrop cukrowy 1:1";"Sugar syrup 1:1"
"645";"honeySugarCake";"Honig-Zucker-Teig";"Pasta de miel y azucar";"Candi miel-sucre";"Candito miele-zucchero";"Pasta de mel e açúcar";"Ciasto miodowo-cukrowe";"Honey-sugar cake"
"646";"powderedSugar";"Puder- zucker";"Azucar glas";"Sucre glace";"Zucchero a velo";"Açúcar em pó";"Cukier puder";"Powdered sugar"
"647";"total";"Gesamt";"Total";"Total";"Totale";"Total";"Razem";"Total"
"648";"sendEmail";"Per E-Mail senden";"Enviar por correo";"Envoyer par e-mail";"Invia per email";"Enviar por e-mail";"Wyślij mailem";"Send by email"
"649";"noEmailConfigured";"Keine E-Mail-Adresse in der App konfiguriert";"No hay direccion de correo configurada en la aplicacion";"Aucune adresse e-mail configurée dans l'application";"Nessun indirizzo email configurato nell'app";"Sem endereço de e-mail configurado na aplicação";"Brak skonfigurowanego adresu email w aplikacji";"No email address configured in the app"
"650";"sendReportToEmail";"Bericht an folgende Adresse senden:";"Enviar informe a la direccion:";"Envoyer le rapport à l'adresse :";"Inviare il report all'indirizzo:";"Enviar relatório para o endereço:";"Czy wysłać raport na adres:";"Send report to:"
"651";"send";"Senden";"Enviar";"Envoyer";"Invia";"Enviar";"Wyślij";"Send"
"652";"attachedPdf";"PDF-Bericht im Anhang.";"Informe PDF adjunto.";"Rapport PDF en pièce jointe.";"Report PDF in allegato.";"Relatório PDF em anexo.";"Raport PDF w załączniku.";"PDF report attached."
"653";"noLimits";"ohne Einschränkungen";"sin limitaciones";"sans limites";"senza limiti";"sem limites";"bez ograniczeń";"no limits"
"654";"summary";"Zusammenfassung";"Resumen";"Résumé";"Riepilogo";"Resumo";"Podsumowanie";"Summary"
"655";"sinceLastInspection";"Tage seit der letzten Durchsicht";"dias desde la ultima inspeccion";"jours depuis la dernière inspection";"giorni dall'ultima ispezione";"dias desde a última inspeção";"dni od ostatniego przeglądu";"days since last inspection"
"656";"nfcSettings";"NFC-Unterstützung";"Soporte NFC";"Support NFC";"Supporto NFC";"Suporte NFC";"Obsługa NFC";"NFC support"
"657";"nfcModeOff";"NFC-Unterstützung deaktivieren";"Desactivar soporte NFC";"Désactiver le support NFC";"Disattiva supporto NFC";"Desativar suporte NFC";"Wyłącz obsługę NFC";"Disable NFC support"
"658";"nfcModeOffDesc";"Die NFC-Taste wird auf der Startseite ausgeblendet";"El boton NFC se ocultara en la pantalla de inicio";"Le bouton NFC sera masqué sur l'écran d'accueil";"Il pulsante NFC sarà nascosto nella schermata principale";"O botão NFC será ocultado no ecrã inicial";"Przycisk NFC zostanie ukryty na stronie startowej";"NFC button will be hidden on the home screen"
"659";"nfcModeInfo";"Detailinformationen öffnen";"Abrir informacion detallada";"Ouvrir les informations détaillées";"Apri informazioni dettagliate";"Abrir informações detalhadas";"Otwieraj informacje szczegółowe";"Open detailed information"
"660";"nfcModeInfoDesc";"Nach dem Lesen des NFC-Tags werden detaillierte Informationen über die Beute geöffnet";"Al leer la etiqueta NFC se abrira la informacion detallada sobre la colmena";"Après la lecture du tag NFC, les informations détaillées sur la ruche seront ouvertes";"Dopo la lettura del tag NFC verranno aperte le informazioni dettagliate sull'arnia";"Após ler a etiqueta NFC, serão abertas as informações detalhadas sobre a colmeia";"Po odczytaniu tagu NFC zostaną otwarte szczegółowe informacje o ulu";"After reading the NFC tag, detailed information about the hive will be opened"
"661";"nfcModeSummary";"Letzte Informationen öffnen";"Abrir ultima informacion";"Ouvrir les dernières informations";"Apri ultime informazioni";"Abrir últimas informações";"Otwieraj ostatnie informacje";"Open latest information"
"662";"nfcModeSummaryDesc";"Nach dem Lesen des NFC-Tags wird der Bildschirm mit den letzten Informationen aus allen Kategorien und Notizen zur gewählten Beute geöffnet";"Al leer la etiqueta NFC se mostrara la pantalla con la ultima informacion de todas las categorias y notas del Bloc de notas sobre la colmena seleccionada";"Après la lecture du tag NFC, vous serez redirigé vers un écran avec les dernières informations de toutes les catégories et les notes du carnet concernant la ruche sélectionnée.";"Dopo la lettura del tag NFC si aprirà la schermata con le ultime informazioni da tutte le categorie e le note relative all'arnia selezionata";"Após ler a etiqueta NFC, será aberto o ecrã com as últimas informações de todas as categorias e notas do Bloco de notas relativas à colmeia selecionada";"Po odczytaniu tagu NFC nastąpi przejście do ekranu z ostatnimi informacjami ze wszystkich kategorii oraz notatkami z Notesa dotyczącymi wybranego ula";"After reading the NFC tag, you will be taken to a screen with the latest information from all categories and notes from the Notes regarding the selected hive."
"663";"queenSeen";"Königin gesichtet";"reina vista";"reine vue";"regina vista";"rainha vista";"matka widziana";"queen seen"
"664";"queenCellsCount";"Weiselzellen";"realeras";"cellules royales";"celle reali";"células reais";"mateczniki";"queen cells"
"665";"removedCellsCount";"entf. Weiselz.";"realeras elim.";"cellules suppr.";"celle rim.";"células removidas";"usunięte mat.";"removed cells"
"666";"inspectionNote";"Notizen";"Notas";"Notes";"Note";"Notas";"Notatki";"Notes"
"667";"frameReview";"Rahmendurchsicht";"Inspeccion de cuadros";"Inspection des cadres";"Ispezione telai";"Inspeção de quadros";"Przegląd ramek";"Frame review"
"668";"taskDate";"Aufgabendatum";"Fecha de tarea";"Date de la tâche";"Data attività";"Data da tarefa";"Data zadania";"Task date"
"669";"queenHistory";"Königinnenhistorie";"Historia de la reina";"Historique de la reine";"Cronologia regina";"Histórico da rainha";"Historia matki";"Queen history"
"670";"pdfQueenHistoryTitle";"Königinnenhistorie ID {id}";"Historia de la reina ID {id}";"Historique de la reine ID {id}";"Cronologia regina ID {id}";"Histórico da rainha ID {id}";"Historia matki ID {id}";"Queen history ID {id}"
"671";"pdfLp";"Nr.";"N.o";"N°";"N.";"N.º";"L.p.";"No."
"672";"pdfApiaryHive";"Bienenstand / Beute";"Colmenar / Colmena";"Rucher / Ruche";"Apiario / Arnia";"Apiário / Colmeia";"Pasieka / Ul";"Apiary / Hive"
"673";"pdfDate";"Datum";"Fecha";"Date";"Data";"Data";"Data";"Date"
"674";"pdfHour";"Zeit";"Hora";"Heure";"Ora";"Hora";"Czas";"Time"
"675";"pdfTemperature";"Temp.";"Temp.";"Temp.";"Temp.";"Temp.";"Temp.";"Temp."
"676";"pdfInformation";"Information";"Informacion";"Information";"Informazione";"Informação";"Informacja";"Information"
"677";"pdfRemarks";"Bemerkungen";"Observaciones";"Remarques";"Osservazioni";"Observações";"Uwagi";"Remarks"
"678";"pdfLine";"Linie";"Linea";"Lignée";"Linea";"Linhagem";"Linia";"Line"
"679";"pdfBreed";"Rasse";"Raza";"Race";"Razza";"Raça";"Rasa";"Breed"
"680";"pdfMark";"Zeichen";"Marca";"Marquage";"Segno";"Marcação";"Znak";"Mark"
"681";"pdfLabel";"Beschriftung";"Inscripcion";"Inscription";"Iscrizione";"Inscrição";"Napis";"Label"
"682";"pdfSource";"Herkunft";"Origen";"Source";"Fonte";"Origem";"Źródło";"Source"
"683";"pdfObtainedDate";"Beschaffungsdatum";"Fecha de obtencion";"Date d'acquisition";"Data acquisizione";"Data de aquisição";"Data pozyskania";"Obtained date"
"684";"pdfLostDate";"Verloren";"Perdida";"Perdue";"Persa";"Perdida";"Stracona";"Lost"
"685";"pdfGeneratingError";"Fehler bei der PDF-Erstellung";"Error al generar PDF";"Erreur de génération du PDF";"Errore generazione PDF";"Erro ao gerar PDF";"Błąd generowania PDF";"PDF generation error"
"686";"deleteDataOnSerwer";"Alle Daten auf dem externen Server (in der Cloud), die eine Sicherungskopie der App-Daten sind, werden gelöscht. Das Löschen ist endgültig und kann nicht rückgängig gemacht werden. Die Daten in der App bleiben erhalten, haben aber bis zum nächsten Cloud-Export keine Sicherungskopie.";"Se eliminaran todos los datos en el servidor externo (nube), que son copia de seguridad de los datos de la aplicacion. La eliminacion es definitiva, sin posibilidad de recuperacion. Los datos en la aplicacion permaneceran, pero hasta exportarlos a la nube no tendran copia de seguridad.";"Toutes les données sur le serveur externe (cloud), qui sont une copie de sauvegarde des données de l'application, seront supprimées. Cette suppression est définitive, sans possibilité de récupération. Les données dans l'application resteront mais jusqu'à l'exportation vers le cloud, elles n'auront pas de copie de sauvegarde.";"Verranno eliminati tutti i dati sul server esterno (cloud), che sono una copia di backup dei dati nell'applicazione. L'eliminazione è definitiva, senza possibilità di recupero. I dati nell'applicazione rimarranno, ma fino all'esportazione nel cloud non avranno un backup.";"Serão eliminados todos os dados no servidor externo (nuvem), que são a cópia de segurança dos dados na aplicação. A eliminação é definitiva, sem possibilidade de recuperação. Os dados na aplicação permanecerão, mas até à exportação para a nuvem não terão cópia de segurança.";"Usunięte zostaną wszystkie dane na serwerze zewnętrznym (w chmurze), które są kopią zapasową danych w aplikacji. Usunięcie ich jest ostateczne, bez możliwości odzyskania. Dane w aplikacji pozostaną ale do chwili eksportu ich do chmury nie będą miały kopii zapasowej.";"All data on the external server (cloud) that is a backup will be deleted. This deletion is final and cannot be recovered. The data in the app will remain, but it will not be backed up until it is exported to the cloud."
"687";"deleteAllDataOnSerwer";"Cloud-Sicherung löschen";"Eliminar copia de seguridad en la nube";"Suppression de la copie de sauvegarde dans le cloud";"Cancellazione del backup nel cloud";"Apagar cópia de segurança na nuvem";"Kasowanie kopii zapasowej w chmurze";"Deleting cloud backup"
"688";"allDatabaseOnSerwer";"aller Daten auf dem externen Server";"todos los datos en el servidor externo";"toutes les données sur le serveur externe";"di tutti i dati sul server esterno";"todos os dados no servidor externo";"wszystkich danych na serwerze zewnętrznym";"all data on the external server"
"689";"deleteOk";"Die Cloud-Sicherung wurde gelöscht. Die in der App gespeicherten Daten haben keine Sicherungskopie.";"La copia de seguridad en la nube ha sido eliminada. Los datos almacenados en la aplicacion no tienen copia de seguridad.";"La copie de sauvegarde dans le cloud a été supprimée. Les données stockées dans l'application n'ont pas de copie de sauvegarde.";"Il backup nel cloud è stato eliminato. I dati nell'applicazione non hanno un backup.";"A cópia de segurança na nuvem foi eliminada. Os dados na aplicação não têm cópia de segurança.";"Kopia zapasowa w chmurze została usunięta. Dane zgromadzone w aplikacji nie mają kopii zapasowej.";"The cloud backup has been deleted. Data stored in the app is not backed up."
"690";"backupAllData";"Sicherung der lokalen Daten";"copia de seguridad de datos locales";"copie de sauvegarde des données locales";"backup dei dati locali";"cópia de segurança dos dados locais";"kopia zapasowa danych lokalych";"local data backup"
"691";"showPurchaseSale";"Schaltflächen Einkäufe und Verkäufe anzeigen";"Mostrar botones Compras y Ventas";"Afficher les boutons Achats et Ventes";"Mostra pulsanti Acquisti e Vendite";"Mostrar botões Compras e Vendas";"Pokaż przyciski Zakupy i Sprzedaż";"Show Purchase and Sale buttons"
"692";"hiveHistoryTitle";"Beute {hiveNr} Bienenstand {apiary} Jahr {year}";"Colmena {hiveNr} Colmenar {apiary} Ano {year}";"Ruche {hiveNr} Rucher {apiary} Année {year}";"Arnia {hiveNr} Apiario {apiary} Anno {year}";"Colmeia {hiveNr} Apiário {apiary} Ano {year}";"Ul {hiveNr} Pasieka {apiary} Rok {year}";"Hive {hiveNr} Apiary {apiary} Year {year}"
"693";"hiveHistoryTitleAll";"Beute {hiveNr} Bienenstand {apiary}";"Colmena {hiveNr} Colmenar {apiary}";"Ruche {hiveNr} Rucher {apiary}";"Arnia {hiveNr} Apiario {apiary}";"Colmeia {hiveNr} Apiário {apiary}";"Ul {hiveNr} Pasieka {apiary}";"Hive {hiveNr} Apiary {apiary}"
"694";"catColumn";"Kat.";"Cat.";"Cat.";"Cat.";"Cat.";"Kat.";"Cat."
"695";"tORemove";"Löschen";"Eliminar";"Supprimer";"Rimuovere";"Remover";"Usunąć";"To remove"
"696";"dEleteFoto";"Foto löschen";"Eliminando foto";"Suppression de la photo";"Eliminazione foto";"A eliminar fotografia";"Usuwanie zdjęcia";"Deleting photo"
"697";"photoDataSend";"Fotos wurden gesendet";"Las fotos han sido enviadas";"Les photos ont été envoyées";"Le foto sono state inviate";"As fotografias foram enviadas";"Zdjęcia zostały wysłane";"Photos have been sent"
"698";"eXportPhoto";"Alle Fotos in die Cloud exportieren";"Exportar todas las fotos a la nube";"Exporter toutes les photos vers le cloud";"Esporta tutte le foto nel cloud";"Exportar todas as fotografias para a nuvem";"Eksport wszystkich zdjęć do chmury";"Export all photos to the cloud"
"699";"pHotos";"Fotos";"Fotos";"Photos";"Foto";"Fotografias";"Zdjęcia";"Photos"
"700";"selectOnMap";"Auf der Karte markieren";"Indicar en el mapa";"Indiquer sur la carte";"Seleziona sulla mappa";"Indicar no mapa";"Wskaż na mapie";"Select on map"
"701";"selectLocationOnMap";"Standort markieren";"Indicar ubicacion";"Indiquer l'emplacement";"Seleziona posizione";"Indicar localização";"Wskaż lokalizację";"Select location"
"702";"beeFlightRange";"Bienenflugradius (2,5 km)";"Alcance de vuelo de abejas (2,5 km)";"Rayon de vol des abeilles (2,5 km)";"Raggio di volo delle api (2,5 km)";"Raio de voo das abelhas (2,5 km)";"Zasięg lotu pszczół (2,5 km)";"Bee flight range (2.5 km)"
"703";"apiaryLocations";"Bienenstandorte";"Ubicaciones de colmenares";"Emplacements des ruchers";"Posizioni degli apiari";"Localizações dos apiários";"Lokalizacje pasiek";"Apiary locations"
"704";"noApiaryLocations";"Keine Bienenstandorte. Setzen Sie den Standort in den Wettereinstellungen des Bienenstands.";"Sin ubicaciones de colmenares. Establece la ubicacion en los ajustes meteorologicos del colmenar.";"Aucun emplacement de rucher. Définissez l'emplacement dans les paramètres météo du rucher.";"Nessuna posizione degli apiari. Imposta la posizione nelle impostazioni meteo dell'apiario.";"Sem localizações de apiários. Defina a localização nas definições meteorológicas do apiário.";"Brak lokalizacji pasiek. Ustaw lokalizację w ustawieniach pogody pasieki.";"No apiary locations. Set the location in the apiary weather settings."
"705";"downloading";"Herunterladen";"Descargando";"Téléchargement";"Download";"A descarregar";"Pobieranie";"Downloading"
"706";"savingToDb";"In Datenbank speichern";"Guardando en la base de datos";"Enregistrement dans la base de données";"Salvataggio nel database";"A guardar na base de dados";"Zapis do bazy";"Saving to database"
"707";"rebuildingHives";"Beuten wiederherstellen";"Reconstruyendo colmenas";"Reconstruction des ruches";"Ricostruzione arnie";"A reconstruir colmeias";"Odbudowa uli";"Rebuilding hives"
"708";"rebuildingApiaries";"Bienenstände wiederherstellen";"Reconstruyendo colmenares";"Reconstruction des ruchers";"Ricostruzione apiari";"A reconstruir apiários";"Odbudowa pasiek";"Rebuilding apiaries"
"709";"finalization";"Abschluss";"Finalizacion";"Finalisation";"Finalizzazione";"Finalização";"Finalizacja";"Finalization"
"710";"notificationSettings";"Benachrichtigungen";"Notificaciones";"Notifications";"Notifiche";"Notificações";"Powiadomienia";"Notifications"
"711";"notificationsEnabled";"Benachrichtigungen aktivieren";"Activar notificaciones";"Activer les notifications";"Attiva notifiche";"Ativar notificações";"Włącz powiadomienia";"Enable notifications"
"712";"notificationTime";"Benachrichtigungszeit";"Hora de notificacion";"Heure de notification";"Ora della notifica";"Hora da notificação";"Godzina powiadomienia";"Notification time"
"713";"notifNotesDesc";"An Aufgabentermine aus den Notizen erinnern";"Recordar las fechas de tareas de las Notas";"Rappeler les dates de tâches des Notes";"Ricorda le scadenze delle attività dalle Note";"Lembrar sobre datas de tarefas das Notas";"Przypominaj o terminach zadań z Notatek";"Remind about task dates from Notes"
"714";"notifInspectionDesc";"An Beutendurchsichten erinnern";"Recordar sobre inspecciones de colmenas";"Rappeler les inspections des ruches";"Ricorda le ispezioni delle arnie";"Lembrar sobre inspeções das colmeias";"Przypominaj o przeglądach uli";"Remind about hive inspections"
"715";"notifFeedingDesc";"An Fütterung erinnern";"Recordar sobre alimentacion";"Rappeler le nourrissement";"Ricorda la nutrizione";"Lembrar sobre alimentação";"Przypominaj o dokarmianiu";"Remind about feeding"
"716";"notifTreatmentDesc";"An Behandlung erinnern";"Recordar sobre tratamiento";"Rappeler le traitement";"Ricorda il trattamento";"Lembrar sobre tratamento";"Przypominaj o leczeniu";"Remind about treatment"
"717";"remind";"Erinnern";"Recordar";"Rappeler";"Ricorda";"Lembrar";"Przypomnij";"Remind"
"718";"remindAfterDays";"Erinnern in ... Tagen";"Recordar en ... dias";"Rappeler dans ... jours";"Ricorda tra ... giorni";"Lembrar após ... dias";"Przypomnij za ... dni";"Remind after ... days"
"719";"remindAtTime";"Erinnerungszeit";"Hora del recordatorio";"Heure du rappel";"Ora del promemoria";"Hora do lembrete";"Godzina przypomnienia";"Reminder time"
"720";"aheadSchedule";"vor dem Termin";"antes del plazo";"avant l'échéance";"prima della scadenza";"antes do prazo";"przed terminem";"ahead of schedule"
"721";"forr";"in";"en";"dans";"tra";"daqui a";"za";"for"
"722";"sinceLastOne";"seit dem letzten";"desde el ultimo";"depuis le dernier";"dall'ultimo";"desde o último";"od ostatniego";"since the last one"
"723";"at";"  um  ";"  a las  ";"  à  ";"  alle  ";"  às  ";"  o  ";"  at  "
"724";"pendingNotifications";"Geplante Benachrichtigungen";"Notificaciones programadas";"Notifications planifiées";"Notifiche programmate";"Notificações agendadas";"Zaplanowane powiadomienia";"Scheduled notifications"
"725";"noPendingNotifications";"Keine geplanten Benachrichtigungen";"No hay notificaciones programadas";"Aucune notification planifiée";"Nessuna notifica programmata";"Sem notificações agendadas";"Brak zaplanowanych powiadomień";"No scheduled notifications"
"726";"cancelNotification";"Benachrichtigung abbrechen";"Cancelar notificacion";"Annuler la notification";"Annulla notifica";"Cancelar notificação";"Anuluj powiadomienie";"Cancel notification"
"727";"notificationCanceled";"Benachrichtigung abgebrochen";"Notificacion cancelada";"Notification annulée";"Notifica annullata";"Notificação cancelada";"Powiadomienie anulowane";"Notification canceled"
"728";"cancelNotificationConfirm";"Diese Benachrichtigung abbrechen?";"Cancelar esta notificacion?";"Annuler cette notification ?";"Annullare questa notifica?";"Cancelar esta notificação?";"Czy anulować to powiadomienie?";"Cancel this notification?"
"729";"taskExistingTasks";"Bestehende Aufgaben";"Tareas existentes";"Tâches existantes";"Attività esistenti";"Tarefas existentes";"Istniejące zadania";"Existing tasks"
"730";"taskExistingMessage";"Für diesen Tag sind bereits Aufgaben geplant:";"Ya hay tareas planificadas para este dia:";"Des tâches sont déjà planifiées pour ce jour :";"Per questo giorno sono già programmate le attività:";"Já existem tarefas planeadas para este dia:";"Na ten dzień zaplanowane są już zadania:";"There are already tasks planned for this day:"
